Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Temperature,Image Processor,Ports,Accessory Shoe,Sensor Type,Image Sensor Size,ISO Rating,Lens Construction,Focal Length,Maximum Aperture,Digital Zoom,Lens Type,Lens Mount,Dust Reduction,Compatible Lens,Other Lens Features,View Finder,View Finder Type,Viewfinder Coverage,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Focus Range,Metering Modes,Auto Focus,White Balancing,Scene Modes,Other Focus Features,AE Lock/Exposure Lock,Exposure Compensation,Exposure Bracketing,Manual Exposure,Shutter Speed,Release Modes,Self-timer,Shutter Type,Other Shutter Features,Built-in Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Format,Aspect Ratio,Wide Angle,Red Eye Reduction,HDR Support,Video Resolution,Video Quality,Video Format,Microphone,Speaker,Display Type,Display Size,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Number of Batteries,Width,Height,Depth,Weight,,,,,,
Sony Alpha ILCE-6400L Mirrorless Camera Vlogger Starter kit  (Black),https://www.flipkart.com/sony-alpha-ilce-6400l-mirrorless-camera-vlogger-starter-kit/p/itm50a48f9d0af17?pid=DLLFZ8HYVS69X9PC&lid=LSTDLLFZ8HYVS69X9PCXV9KHV&marketplace=FLIPKART&srno=s_1_22&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLFZ8HYVS69X9PC.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,103990,Sony,ILCE-6400L,Alpha,Alpha a6400,Vlogger Starter kit,Black,Mirrorless,Black,24.2 MP,"Manual, Auto",Yes,Yes,Yes,32 to 104,BIONZ X,"USB 2.0 Micro-B, HDMI D (Micro) Port, Microphone Port",Yes,CMOS,23.5 x 15.6,ISO 100 - 32000,9 Elements in 8 Groups,16 to 50,f/3.5 to 5.6,"Smart Zoom (Still Images): M - Approx. 1.4x, S - Approx. 2x, Digital Zoom (Still Images): L- Approx. 4x, M: Approx. 5.7x, S - Approx. 8x, Digital Zoom (Movie): Approx. 4x",Sony E,Sony E-mount Lens,Yes,Sony E Mount,"Angle of View - 83 to 32 Degree, Diaphragm Blades - 7 (Rounded), Minimum Focus Distance - 9.84 inch / 25 cm, Format Compatibility APS-C",Yes,Electronic,100%,Approx. 1.07x,-4.0 to +3.0,23 mm,EV -2 to EV 20,"Multi-segment, Centre-weighted, Spot, Spot Standard/Large, Entire Screen Avg, Highlight",Yes,"Auto, Cloudy, Color Temperature, Color Temperature Filter, Custom, Daylight, Flash, Fluorescent (Cool White), Fluorescent (Day White), Fluorescent (Daylight), Fluorescent (Warm White), Incandescent, Shade, Underwater","Portrait, Sports Action, Macro, Landscape, Sunset, Night Scene, Hand-held Twilight, Night Portrait, Anti Motion Blur","Auto-focus Points Phase Detection: 425, Contrast Detection: 425",Locked When Shutter Button is Pressed Halfway. Available with AE Lock Button (On / Off / Auto),"-5 EV to +5 EV (in 1/3, 1/2 EV Steps)",3 Frames,Yes,1/4000 sec,"Focal-plane Type, Electronically-controlled, Vertical-traverse",Yes,"Electronic, Mechanical","Flash Sync. Speed - 1/160 sec, Silent Shooting - Yes (On/Off)",Yes,"Fill-In, Hi-Speed Sync, Rear Sync, Slow Sync, Auto, Wireless",-3 EV to +3 EV (in 1/3 or 1/2 EV Steps),"External Flash Connection Hot Shoe, Wireless, Dedicated Flash System - TTL, Max Sync Speed - 1/160 Second",JPEG,"3:2, 16:9",Yes,Yes,Yes,1920 x 1080,NTSC/PAL,"1920 x 1080p at 24/25/30/50/60 fps, 1920 x 1080p at 100/120 fps, 1920 x 1080p at 25/30 fps, 3840 x 2160p at 24/25/30 fps, 1920 x 1080p at 50/60 fps",Built-In Microphone with Video (Stereo),Built-in (Monaural),LCD,3 inch,Yes,SD Card,DC 7.2 V (Battery),Yes,Lithium Battery,2,120 mm,66.9 mm,59.7 mm,1.1 kg,,,,,,
Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Temperature,Image Processor,Sensor Type,Image Sensor Size,Other Sensor Features,Digital Zoom,Lens Mount,Dust Reduction,Compatible Lens,Manual Focus,Other Lens Features,View Finder,View Finder Type,Viewfinder Coverage,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Other Viewfinder Features,Focus Mode,Focus Range,Metering Modes,Auto Focus,Focus Points,White Balancing,Scene Modes,Other Focus Features,Exposure Mode,AE Lock/Exposure Lock,Exposure Compensation,Exposure Bracketing,Other Exposure Features,Shutter Speed,Self-timer,Image Stablizer,Continuous Shots,Shutter Type,Other Shutter Features,Built-in Flash,External Flash,Flash Modes,Flash Compensation,Other Flash Features,Image Size,Image Format,Aspect Ratio,Red Eye Reduction,Video Resolution,Video Quality,Other Video Features,Microphone,Speaker,Display Type,Display Size,Touch Screen,Other Display Features,Compatible Card,Batteries Included,Battery Type,Number of Batteries,Other Power Features,Other Features,Width,Height,Depth,Weight,Other Dimensions,,,
Sony Alpha 7M3K Mirrorless Camera Body with 28 - 70 mm Zoom Lens  (Black),https://www.flipkart.com/sony-alpha-7m3k-mirrorless-camera-body-28-70-mm-zoom-lens/p/itmf7gbgkkrf7whx?pid=DLLF7GBGWYNB5SZK&lid=LSTDLLF7GBGWYNB5SZKBEOWCO&marketplace=FLIPKART&srno=s_1_23&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLF7GBGWYNB5SZK.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,171990,Sony,7M3K,Alpha,ILCE,Body with 28 - 70 mm Zoom Lens,Black,Mirrorless,Black,24.2 MP,"Single Shooting, Continuous Shooting (Hi+/Hi/Mid/Lo Selectable), Self-timer, Self-timer (Cont), Bracket: Single, Bracket: Cont, White Balance Bracket, DRO Bracket",Yes,Yes,Yes,Operating Temperature: 0 - 40DegreeC,BIONZ X,CMOS,35.6 x 23.8,Sensor Type: 35 mm Full Frame,"Smart Zoom (Still Images): 35 mm Full Frame: M: Approx 1.5x, S: Approx 2x, APS-C: M: Approx 1.3x, S: Approx 2x, Digital Zoom (Still Images): 35 mm Full Frame: L: Approx 4x, M: Approx 6.1x, S: Approx 8x, APS-C: L: Approx 4x, M: Approx 5.2x, S: Approx 8x, Digital Zoom (Movie): 35 mm Full Frame: Approx 4x, APS-C: Approx 4x",E-mount,Yes,Sony E-mount Lenses,Yes,"Lens Compensation: Setting - Peripheral Shading, Chromatic Aberration, Distortion",Yes,"1.3 cm (0.5 Type) Electronic Viewfinder (Color), XGA OLED",100%,"Approximate 0.78 x (with 50 mm Lens at Infinity, -1 m-1)",-4.0 to +3.0 m-1,23 mm,"Number of Dots: 2359296 dots, Brightness Control: Auto/Manual (5 steps between -2 and +2), Color Temperature Control: Manual (5 steps), Eye Point: Approx 23 mm from the Eyepiece Lens, 18.5 mm from the Eyepiece Frame at -1 m-1 (CIPA Standard), Display Contents: Graphic Display, Display All Information, No Display Information, Digital Level Gauge, Histogram","AF-A (Automatic AF), AF-S (Single-shot AF), AF-C (Continuous AF), DMF (Direct Manual Focus), Manual Focus",EV-3 to EV20,"Multi-segment, Centre-Weighted, Spot, Spot Standard/Large, Entire Screen Average, Highlight",Yes,"35 mm Full Frame: 693 points (Phase-detection AF), APS-C Mode with Full Frame Lens: 299 points (Phase-detection AF), with APS-C Lens: 221 points (Phase-detection AF)/425 points (Contrast-detection AF)","White Balance Mode: Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Warm White, Cool White, Day White, Daylight, Flash, Underwater, Color Temperature 2500 to 9900K and Color filter G7 to M7 (57-step), A7 to B7 (29-step), Custom, AWB Micro Adjustment - Yes G7 to M7, 57-step A7 to B7, 29-step, Priority Set In AWB","Portrait, Sports Action, Macro, Landscape, Sunset, Night Scene, Night Portrait","Focus Type: Fast Hybrid AF (Phase-detection AF/Contrast-detection AF), Focus Sensor: Exmor R CMOS Sensor, Focus Sensitivity Range: EV-3 to EV20 (ISO100 Equivalent with F2.0 Lens Attached), Focus Area: Wide (693 points (Phase-detection AF), 425 points (Contrast-detection AF)) Zone, Centre, Flexible Spot (S, M, L)/Expanded Flexible Spot/Lock-on AF (Wide, Zone, Centre, Flexible Spot (S, M, L), Expanded Flexible Spot), Other Features - Eye-start AF (Only with LA-EA2 or LA-EA4 Attached (Sold Separately)), Lock-on AF, Eye AF, AF Micro Adjustment with LA-EA2 or LA-EA4 (Sold Separately), Predictive Control, Focus Lock, AF Track Sens, Swt V/H AF Area, AF Area Regist, AF Illuminator: Yes (With Built-in LED Type), AF Illuminator Range: Approx 0.3 to 3.0 m (With FE 28 - 70 mm F3.5 - 5.6 OSS Attached), Focus Type with LA-EA3 (Sold Separately): Selectable (Phase-detection, Contrast-detection)",Automatic,AE Lock,"+/- 5.0 EV (1/3 EV, 1/2 EV steps Selectable), (With Exposure Compensation Dial: +/- 3EV (1/3 EV steps))","Bracket: Cont, Bracket: Single, 3/5/9 Frames Selectable with 3 or 5 Frames, in 1/3, 1/2, 2/3, 1.0, 2.0 or 3.0 EV Increments, with 9 Frames, in 1/3, 1/2, 2/3 or 1.0 EV Increments","Metering Type: 1200-zone Evaluative Metering, Metering Sensor: Exmor R CMOS Sensor, Metering Sensitivity: EV -3 to EV 20 (At ISO100 Equivalent with F2.0 Lens Attached), AE Lock: Locked When Shutter Button is Pressed Halfway, Available with AE Lock Button (On, Off, Auto), Exposure Modes: AUTO (iAuto), Programmed AE (P), Aperture Priority (A), Shutter-speed Priority (S), Manual (M), Movie (Programmed AE (P)/Aperture Priority (A)/Shutter-speed Priority (S)/Manual (M)), Slow and Quick Motion (Programmed AE (P)/Aperture Priority (A)/Shutter-speed Priority (S)/Manual (M)), Scene Selection, ISO Sensitivity (Recommended Exposure Index): Still Images: ISO 100 - 51200 (ISO Numbers up from ISO 50 to ISO 204800 can be Set as Expanded ISO Range), AUTO (ISO 100 - 12800, Selectable Lower Limit and Upper Limit), Movies: ISO 100 - 51200 Equivalent (ISO Numbers up ISO 102400 can be Set as Expanded ISO Range), AUTO (ISO 100 - 12800, Selectable Lower Limit and Upper Limit), Anti-Flicker Shoot",1/8000 - 30 sec,Yes,Image Sensor-shift Mechanism with 5-axis Compensation (Compensation Depends on Lens Specifications),Yes,"Electronically-controlled, Vertical-traverse, Focal-plane Type","Shutter Speed: (Still Images) - 1/8000 to 30 sec, Bulb, Movies: 1/8000 to 1/4 (1/3 steps), Up to 1/60 in AUTO Mode (Up to 1/30 in Auto Slow Shutter Mode), Flash Sync Speed: 1/250 sec, Electronic Front Curtain Shutter: Yes (On/Off), Silent Shooting: Yes (On/Off)",Yes,Yes,"Flash Off, Autoflash, Fill-flash, Slow Sync, Rear Sync, Red-eye Reduction (On/Off Selectable), Wireless, Hi-speed Sync",+/- 3.0 EV (Switchable between 1/3 and 1/2 EV steps),"Flash Control: Pre-flash TTL, Flash Bracketing: 3/5/9 Frames Selectable, With 3 or 5 Frames, in 1/3, 1/2, 2/3, 1.0, 2.0, 3.0 EV Increments, with 9 Frames, in 1/3, 1/2, 2/3, 1.0 EV Increments, External Flash Compatibility: Sony Alpha System Flash Compatible with Multi Interface Shoe, Attach the Shoe Adapter for Flash Compatibility with the Auto-lock Accessory Shoe, FE Level Lock, Wireless Control: Yes (Light Signal: Available with Fill-flash, Slow Sync, Hi-speed Sync/Radio Signal: Available with Fill-flash, Rear Sync, Slow Sync, Hi-speed Sync)","Recording (Still Images): Recording Format - JPEG (DCF Version 2.0, Exif Version 2.31, MPF Baseline Compliant), RAW (Sony ARW 2.3 Format), Image Size (Pixels) 3:2 - 35 mm Full-frame L: 6000 x 4000 (24 M), M: 3936 x 2624 (10 M), S: 3008 x 2000 (6.0 M), APS-C L: 3936 x 2624 (10 M), M: 3008 x 2000 (6.0 M), S: 1968 x 1312 (2.6 M), Image Size (Pixels) 16:9 - 35 mm Full-frame L: 6000 x 3376 (20 M), M: 3936 x 2216 (8.7 M), S: 3008 x 1688 (5.1 M), APS-C L: 3936 x 2216 (8.7 M), M: 3008 x 1688 (5.1 M), S: 1968 x 1112 (2.2 M), Image Size (Pixels), NTSC - XAVC S 4K: 3840 x 2160 (30p, 100M), 3840 x 2160 (24p, 100M), 3840 x 2160 (30p, 60M), 3840 x 2160 (24p, 60M), XAVC S HD: 1920 x 1080 (120p, 100M), 1920 x 1080 (120p, 60M), 1920 x 1080 (60p, 50M), 1920 x 1080 (30p, 50M), 1920 x 1080 (24p, 50M), 1920 x 1080 (60p, 25M), 1920 x 1080 (30p, 16M), AVCHD: 1920 x 1080 (60i, 24M, FX), 1920 x 1080 (60i, 17M, FH), Image Size (Pixels), PAL - XAVC S 4K: 3840 x 2160 (25p, 100M), 3840 x 2160 (25p, 60M)","RAW, RAW & JPEG (Extra Fine, Fine, Standard), JPEG (Extra Fine, Fine, Standard)",3:02,Yes,1920 x 1080,"XAVC S, AVCHD","Recording (Movie): Recording Format - XAVC S, AVCHD Format Verision 2.0 Compliant, Video Compression - XAVC S: MPEG-4 AVC/H.264, AVCHD: MPEG-4 AVC/H.264, Audio Recording Format - XAVC S: LPCM 2 ch, AVCHD: Dolby Digital (AC-3) 2 ch, Dolby Digital Stereo Creator, Color Space - xvYCC standard (x.v.Color When Connected via HDMI Cable) Compatible with TRILUMINOS Color, Picture Effect - Posterisation (Color), Posterisation (B, W), Pop Color, Retro Photo, Partial Color (R, G, B, Y), High Contrast Monochrome, Toy Camera (Normal, Cool, Warm, Green, Magenta), Soft High-key, Creative Style - Standard, Vivid, Neutral, Clear, Deep, Light, Portrait, Landscape, Sunset, Night Scene, Autumn Leaves, Black and White, Sepia, Style Box (1 - 6), (Contrast (-3 to +3 steps), Saturation (-3 to +3 steps), Sharpness (-3 to +3 steps)), Picture Profile - Yes (Off/PP1-PP10) Parameters: Black Level, Gamma (Movie, Still, Cine 1-4, ITU709, ITU709 (800%), S-Log2, S-Log3, HLG, HLG1-3), Black Gamma, Knee, Color Mode, Saturation, Color Phase",Built-in Stereo Microphone or XLR-K2M/XLR-K1M/ECM-XYST1M (Sold Separately),"Built-in, Monaural",Full HD,3 inch,Yes,"LCD Screen: Monitor Type - 7.5 cm (3.0-type) Type TFT, Number of Dots: 921600 dots, Touch Panel, Brightness Control: Manual (5 steps between -2 and +2), Sunny Weather Mode, Adjustable Angle: Up by Approx 107Degree, Down by Approx 41Degree, Display Selector (Finder/LCD): Yes (Auto/Manual), Real-Time Image Adjustment Display (LCD): On/Off, Quick Navi, Focus Magnifier: Yes (35 mm Full Frame: 5.9x, 11.7x, APS-C: 3.8x, 7.7x), Zebra: Yes (Selectable Level and Range or Lower Limit as Custom Setting), Peaking MF: Yes (Level Setting: High, Mid, Low, Off, Color: White, Red, Yellow), Others: Grid Line (Rule of 3rds Grid/Square Grid/Diagram and Square Grid/Off), Movie Marker (Center, Aspect, Safety Zone, Guideframe), Display Content: Graphic Display, Display All Info, No Display Info, Digital Level Gauge, Histogram, For Viewfinder, Monitor Off",SD Card,Yes,Rechargeable,1,"Battery Life (Still Images): Approx 610 shots (Viewfinder)/Approx 710 shots (LCD Monitor) (CIPA Standard), Battery Life (Movie, Actual Recording): Approx 115 min (Viewfinder)/Approx 125 min (LCD Monitor) (CIPA Standard), Battery Life (Movie, Continuous Recording): Approx 200 min (Viewfinder)/Approx 210 min (LCD Monitor) (CIPA Standard), Internal Battery Charge: Yes (Available with Multi/Micro USB Terminal or USB Type-C Terminal), Power Consumption With Viewfinder: Still Images: Approx 3.2 W (with FE 28 - 70 mm F3.5 - 5.6 OSS Lens Attached), Movies: Approx 4.9 W (With FE 28-70 mm F3.5 - 5.6 OSS Lens Attached), Power Consumption With LCD Screen: Still Images: Approx 2.8 W (with FE 28 - 70 mm F3.5 - 5.6 OSS Lens Attached), Movies: Approx 4.7 W (with FE 28 - 70 mm F3.5 - 5.6 OSS Lens Attached), USB Power Supply: Yes (Available with Multi/Micro USB Terminal or USB Type-C Terminal)","Number of Pixels (Total): Approx. 25.3 MP, Anti-dust System: Charge Protection Coating on Optical Filter and Image Sensor Shift Mechanism, Picture Effect: 8 Types - Posterisation (Color), Posterisation (B/W), Pop Color, Retro Photo, Partial Color (R, G, B, Y), High Contrast Monochrome, Toy Camera (Normal, Cool, Warm, Green, Magenta), Soft High-key , Rich-tone Monochrome, Creative Style: Standard, Vivid, Neutral, Clear, Deep, Light, Portrait, Landscape, Sunset, Night Scene, Autumn Leaves, Black and White, Sepia, Style Box (1 - 6), (Contrast (-3 to +3 Steps), Saturation (-3 to +3 Steps), Sharpness (-3 to +3 Steps)), Picture Profile: Yes (Off/PP1 - PP10) Parameters: Black Level, Gamma (Movie, Still, Cine 1 - 4, ITU709, ITU709 (800%), S-Log2, S-Log3, HLG, HLG1-3), Black Gamma, Knee, Color Mode, Saturation, Color Phase, Color Depth, Detail, Copy, Reset, Dynamic Range Functions: Off, Dynamic Range Optimizer (Auto/Level (1-5)), Auto High Dynamic Range (Auto Exposure Difference, Exposure Difference Level",12.69 cm,9.56 cm,7.37 cm,650 g,"Dimension (W x H x D): Approx 12.69 cm x 9.56 cm x 7.37 cm, Approx 12.69 cm x 9.56 cm x 6.27 cm (From Grip to Monitor)/Approx 5 x 3 7/8 x 3, Approx 5 x 3 7/8 x 2 1/2 (From Grip to Monitor)",,,
Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Lens Type,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Upgradeable Memory,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X Series X-T100 Mirrorless Camera Body with XC 15 - 45 mm Lens F3.5 - 5.6 OIS PZ  (Gold, Black)",https://www.flipkart.com/fujifilm-x-series-x-t100-mirrorless-camera-body-xc-15-45-mm-lens-f3-5-5-6-ois-pz/p/itmffhnyesyzfrrk?pid=DLLFFHNYM25CFZYP&lid=LSTDLLFFHNYM25CFZYPUBERK7&marketplace=FLIPKART&srno=s_1_24&otracker=search&fm=organic&iid=3886f55f-56e6-4690-8f2c-be8165f2c9e3.DLLFFHNYM25CFZYP.SEARCH&ssid=bytk426eyo0000001585306585335&qH=ac7edfe844c3c5f1,39999,Fujifilm,X-T100,X Series,X-T100,Body with XC 15 - 45 mm Lens F3.5 - 5.6 OIS PZ,Champagne gold,Mirrorless,"Gold, Black",24.2 MP,Yes,Yes,CMOS,23.5 x 15.7,"Auto, 200 - 12800 (Expands to 100 - 51200)",Interchangeable Lens,Fujifilm X Mount,Yes,1/32000 sec,Yes,JPEG,3840 x 2160,4K,TFT LCD,3 inch,Yes,SDXC,256 GB,NP-W126S Li-ion Battery,121 mm,83 mm,47.4 mm,448 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Series,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Lens Type,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Upgradeable Memory,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X Series X-A5 Mirrorless Camera Body with 15 - 45 mm Lens F3.5 - 5.6 OIS PZ  (Silver, Brown)",https://www.flipkart.com/fujifilm-x-series-x-a5-mirrorless-camera-body-15-45-mm-lens-f3-5-5-6-ois-pz/p/itmffhnyctfgpy2d?pid=DLLFFHNYWDA996FK&lid=LSTDLLFFHNYWDA996FKJZMUWS&marketplace=FLIPKART&srno=s_2_25&otracker=search&fm=organic&iid=41d15df0-e9f9-46f5-8d4f-5375b1037a96.DLLFFHNYWDA996FK.SEARCH&ssid=340es4g39s0000001585306610429&qH=ac7edfe844c3c5f1,34999,Fujifilm,X-A5,X Series,X-A5,Body with 15 - 45 mm Lens F3.5 - 5.6 OIS PZ,Brown Marron,Mirrorless,"Silver, Brown",24.2 MP,Yes,Yes,CMOS,23.5 x 15.7,"Auto, 200 - 12800",Interchangeable Lens,Fujifilm X Mount,Yes,1/32000 sec,Yes,JPEG,3840 x 2160,4K,TFT LCD,3 inch,Yes,SDXC,256 GB,NP-W126S Li-ion Battery,116.9 mm,67.7 mm,40.4 mm,361 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Shutter Speed,Self-timer,Image Format,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D5600 l1 DSLR Camera Body with Lens: AF-P DX Nikkor 18-55 MM + 70-300MM  (Black),https://www.flipkart.com/nikon-d5600-l1-dslr-camera-body-lens-af-p-dx-nikkor-18-55-mm-70-300mm/p/itmffvfqqyyynp8h?pid=DLLFFUPYV75EUZFE&lid=LSTDLLFFUPYV75EUZFEB9JIWW&marketplace=FLIPKART&srno=s_2_26&otracker=search&fm=organic&iid=41d15df0-e9f9-46f5-8d4f-5375b1037a96.DLLFFUPYV75EUZFE.SEARCH&ssid=340es4g39s0000001585306610429&qH=ac7edfe844c3c5f1,66750,Nikon,D5600 l1,D5600 l1 Black,Body with Lens: AF-P DX Nikkor 18-55 MM + 70-300MM,Black,DSLR,Black,24.2 MP,Yes,No,CMOS,NA,Nikon F Mount,Yes,1/4000 - 30 sec,Yes,"JPEG, JPEG RAW",1920 x 1080,1080p recording at 30p,TFT LCD,3 inch,No,SD Card,Rechargeable Li-ion,12.4 cm,9.7 cm,6.95 cm,415 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
